id,ingreso_txt,sexo_txt,edad,educ,exper,horas,k,formal,situacion,tamano,sector,satisf_txt,urbano,casado,hijos,provincia
854,564.78,hombre,18,10,3,165,1262.07,0,2,2,2,Triste,0,0,0,GUAYAS
855,565.69,HOMBRE,32,6,17,145,1100.29,0,2,1,5,Normal,0,1,0, El Oro
856,464.02,mujer,22,12,4,221,1737.6,0,2,2,2,Feliz,0,0,0,Loja
857,"766,62",Mujer,24,7,11,228,485.13,0,2,2,4,Triste,0,1,4,El Oro
858,797.30,H,58,10,42,191,1449.28,0,3,1,3,Feliz,0,1,1,El  Oro
859,  706,Hombre,33,8,18,192,1943.38,0,2,1,2,Normal,0,1,0,el oro
860,NA,H,64,12,46,216,1279.29,0,3,3,4,Muy feliz,1,0,1, El Oro
861,552.07,hombre,23,10,6,117,,0,2,2,5,Muy feliz,1,1,3,LOJA
862,352.50, Mujer,25,4,11,105,223.12,0,3,4,5,Feliz,0,1,3, El Oro
863,539.20,Mujer,20,9,5,139,,0,2,2,4,Feliz,0,0,1,Guayas
864,387.27,Mujer,33,9,18,272,1367.57,1,1,1,1,Normal,0,1,1,Loja
865,401.62,H,39,12,22,136,859.25,1,1,1,5,Feliz,1,1,3,El  Oro
866,669.92,M,31,13,13,154,891.76,0,3,1,4,Feliz,1,1,4,LOJA
867,"567,85",Hombre ,21,14,0,176,869.95,0,2,1,3,Feliz,0,0,0,el oro
868,  1733,Hombre,58,19,33,237,653.17,1,1,3,3,Feliz,1,0,1,Azuay
869,NA,Hombre ,21,16,0,89,1267.22,0,2,3,4,Muy feliz,0,0,0,El  Oro
870,, Mujer,55,5,42,141,238.5,0,2,1,1,Triste,1,1,2,GUAYAS
871,384.56,Hombre ,30,7,12,174,2188.63,0,2,2,2,Normal,0,0,2,Guayas
872,457.05,MUJER ,38,11,21,217,1335.99,0,2,1,1,Normal,1,0,2,Guayas
873,687.18,MUJER ,38,5,24,240,1651.85,0,2,1,3,Muy feliz,1,1,2,guayas
874,615.08,hombre,29,16,5,164,532.29,1,1,1,1,Muy feliz,0,1,5,El Oro
875,518.53,MUJER ,26,13,6,182,733.46,0,3,1,2,Normal,1,0,0,el oro
876,"1.020,56",Mujer,56,10,40,234,3595.43,0,2,2,4,Feliz,1,1,0,El Oro
877,"395,18",MUJER ,20,15,0,167,494.38,0,3,3,3,Muy triste,0,0,0,El Oro
878,"490,85",HOMBRE,36,8,20,259,623.4,1,1,1,5,Normal,0,1,2,Loja
879,633.40,H,35,10,19,240,791.47,1,1,2,4,Normal,1,0,0,El  Oro
880,623.90,hombre,20,9,5,129,1554.81,1,1,3,1,Muy feliz,1,0,0,El Oro
881,1032.19, Mujer,34,15,11,236,,1,1,1,5,Muy feliz,1,1,1,El Oro
882,s/i,MUJER ,37,15,16,119,589.17,1,1,2,3,Triste,0,0,0,EL ORO
883,543.06,Hombre,23,11,6,101,817.73,1,1,3,5,Triste,1,1,0,Loja
884,"926,89",Hombre,19,14,0,172,1587.04,0,2,2,4,Feliz,0,0,3,el oro
885,575.57,hombre,18,12,0,101,497.12,0,2,1,4,Feliz,0,0,1,El  Oro
886,515.86,Hombre ,23,12,3,139,976.53,0,2,1,5,Triste,1,1,0,Azuay
887,711.47,H,48,15,23,239,581.15,1,1,3,4,Triste,1,1,1,Loja
888,  508,Hombre ,26,99,7,134,1554.54,1,1,1,5,Feliz,0,0,0,el oro
889,  627,H,51,10,35,177,1499.25,1,1,1,2,Feliz,0,0,1,EL ORO
890,808.05,Hombre ,32,11,18,218,1700.53,0,3,4,2,Muy triste,1,1,2,Azuay
891,  1060,Hombre,38,9,25,162,5563.21,1,1,4,2,Normal,0,1,4,Azuay
892,,Hombre ,27,17,3,134,2807.88,1,1,1,3,Normal,0,0,0,EL ORO
893,1118.55,HOMBRE,31,17,9,181,574.67,0,2,4,3,Muy triste,0,0,1,AZUAY
894,"472,43",Mujer,32,19,5,169,497.61,1,1,1,3,Muy feliz,0,1,3,Azuay
895,615.05,Hombre,33,13,15,162,496.75,1,1,1,2,Feliz,1,1,2,GUAYAS
896,"1.476,87",mujer,31,15,12,194,2643.2,0,3,4,3,Muy feliz,1,1,1,El Oro
897,1028.89,H,35,15,14,260,563.28,0,3,2,1,Feliz,1,1,2, El Oro
898,918.15,M,44,19,20,173,1280.94,1,1,1,3,Normal,0,1,0,el oro
899,725.55,Mujer,56,7,41,214,3036.45,0,3,2,2,Muy feliz,1,0,1,Loja
900,"455,57",MUJER ,22,16,0,68,2960.92,1,1,3,3,Triste,0,0,1,Loja
901,  377,HOMBRE,43,11,25,51,1259.7,1,1,2,2,Normal,0,1,3, Loja
902,373.80,Mujer,22,15,3,93,518.35,1,1,1,5,Normal,1,0,0, Loja
903,  899,H,63,17,40,130,2591.63,1,1,3,3,Feliz,1,1,1, Loja
904,  561,hombre,35,6,19,227,2564.67,1,1,1,3,Normal,1,1,2,El  Oro
905,  875,H,99,15,10,194,1351.7,0,3,1,1,Muy triste,1,1,1,El Oro
906,"924,26",Hombre ,59,10,44,177,3123.21,0,2,1,2,Muy feliz,0,0,1,GUAYAS
907,999999,MUJER ,23,11,5,199,1566.78,0,3,2,2,Feliz,0,0,2,Loja
908,731.38, Mujer,34,15,13,129,1327.31,0,3,1,4,Triste,1,1,1,Loja
909,"879,30",HOMBRE,41,16,19,131,1559.05,1,1,3,5,Normal,1,0,1,Loja
910,292.65,Hombre,21,5,4,297,383.43,0,2,2,1,Feliz,0,0,1,EL ORO
911,400.18,HOMBRE,22,12,3,120,361.47,1,1,2,1,Normal,0,1,3,guayas
912,  933,H,62,15,40,221,,1,1,2,3,Feliz,0,1,0,guayas
913,"688,51", Mujer,39,14,20,216,536.47,1,1,4,3,Triste,1,1,1, Loja
914,s/i,mujer,52,10,35,209,678.6,1,1,1,1,Muy triste,1,1,3,el oro
915,"512,23",M,20,15,1,127,954.2,1,1,3,2,Feliz,1,0,2,Loja
916,633.26,hombre,22,11,3,196,1769,0,2,2,4,Feliz,1,1,1,El Oro
917,767.46,Hombre ,33,14,12,251,858.22,0,3,1,4,Normal,0,1,0,Guayas
918,"1.006,49",Hombre ,43,9,28,282,719.72,1,1,2,3,Triste,0,0,1,el oro
919,,hombre,21,11,5,165,1723.26,1,1,2,1,Normal,1,0,2,AZUAY
920,311.74,Hombre,39,9,25,137,762.4,1,1,1,3,Feliz,0,1,2,el oro
921,1138.48,Mujer,29,12,12,190,6175.58,1,1,1,5,Muy feliz,0,0,1,El Oro
922,1462.39,Hombre ,30,20,3,198,943.78,1,1,2,1,Triste,1,1,3,Loja
923,"800,21",HOMBRE,28,8,12,178,,0,2,1,5,Feliz,1,0,1,El Oro
924,"826,44",HOMBRE,61,14,43,199,690.72,0,3,3,1,Normal,1,1,3,El Oro
925,"662,04", Mujer,40,12,23,165,2367.04,1,1,1,2,Muy triste,1,1,6,AZUAY
926,776.85,H,60,14,40,103,977.63,1,1,1,1,Muy feliz,1,0,2,guayas
927,"568,21",H,34,13,14,150,1451.62,1,1,3,1,Triste,1,0,0, Loja
928,,hombre,58,99,40,185,6062.43,1,1,2,4,Feliz,1,0,0,Loja
929,"522,89",Mujer,64,5,50,167,2395.03,0,3,1,4,Normal,1,0,2,EL ORO
930,802.95,M,30,10,14,208,2468.28,0,3,1,2,Normal,0,0,0,EL ORO
931,"427,02",Mujer,18,8,1,157,691.45,0,2,1,1,Feliz,1,1,3,GUAYAS
932,548.04,mujer,21,7,6,180,1600.47,0,2,3,4,Triste,1,1,1,Azuay
933,"406,10",MUJER ,34,10,18,128,1308.15,0,2,2,1,Muy feliz,1,0,1,el oro
934,  642,M,30,7,13,148,1401.72,0,2,3,4,Muy feliz,1,0,4,El Oro
935,599.09,hombre,23,14,3,151,691.35,0,2,1,4,Feliz,0,0,3,Guayas
936,724.04,Hombre,43,99,24,132,4105.62,0,2,2,4,Normal,1,0,0,El Oro
937,"813,58", Mujer,46,16,26,152,581.19,1,1,1,1,Feliz,0,1,2, El Oro
938,1764.42,H,45,13,25,151,2494,1,1,3,3,Normal,1,0,0,El Oro
939,"585,78",Hombre ,28,16,5,153,543.45,0,2,1,2,Feliz,1,0,0,Loja
940,"706,37",H,45,8,30,199,4133,1,1,1,4,Muy feliz,1,1,1, Loja
941,  873,Hombre ,26,17,3,170,1769.97,0,2,1,1,Normal,1,0,0,Loja
942,567.92,hombre,61,14,42,195,2510.15,1,1,1,1,Muy triste,0,1,2,EL ORO
943,NA, Mujer,33,16,10,184,964.08,1,1,2,4,Feliz,1,1,1,guayas
944,905.34,hombre,51,12,33,181,2645.31,0,2,3,5,Normal,1,1,0,El Oro
945,483.18, Mujer,29,7,14,184,1838.55,0,2,2,4,Normal,1,0,2, El Oro
946,"513,45",H,23,10,5,235,465.72,0,3,1,3,Normal,1,1,1,GUAYAS
947,  866,hombre,30,8,16,144,2208.63,0,3,3,4,Muy feliz,0,1,0,Guayas
948,  1149,HOMBRE,23,10,6,198,1602.96,0,2,4,4,Triste,1,0,0,GUAYAS
949,  472,H,18,13,0,80,1434.24,1,1,2,3,Normal,1,1,1,El Oro
950,480.48, Mujer,25,17,2,114,824.45,1,1,1,2,Feliz,1,1,2, El Oro
951,  542,M,48,10,32,158,1379.27,0,3,4,3,Feliz,1,0,0,GUAYAS
952,644.98,Hombre ,47,9,33,999,717.99,1,1,1,3,Normal,1,1,2, El Oro
953,407.48,Hombre,57,9,37,148,418.64,1,1,4,2,Feliz,1,1,1,GUAYAS
954,343.56,H,46,12,28,208,236.23,0,3,1,3,Triste,1,0,0,LOJA
955,692.72,Hombre ,23,8,9,187,979.51,0,2,3,5,Triste,0,0,2,el oro
956,"701,55",M,57,8,40,139,2820.48,0,2,2,3,Normal,1,1,2,El  Oro
957,740.86, Mujer,32,13,12,228,1092.22,0,2,2,3,Normal,1,1,2,Guayas
958,961.47,Hombre ,20,11,4,160,5968.61,1,1,2,5,Feliz,1,1,3,El Oro
959,"1.066,82",Hombre ,48,11,33,191,831.34,1,1,4,5,Feliz,1,0,0,el oro
960,"456,34",Hombre,52,14,31,144,521.2,1,1,1,1,Triste,1,1,2,GUAYAS
961,"418,13",mujer,59,11,43,193,307.89,0,3,4,1,Muy triste,1,1,3,Azuay
962,,HOMBRE,25,9,11,165,1151.97,0,2,1,2,Normal,0,0,2,guayas
963,"964,52",MUJER ,30,11,11,999,2957.15,1,1,3,3,Normal,0,1,2, El Oro
964,1703.83,H,27,13,6,231,5025.47,0,2,4,4,Normal,0,1,2,EL ORO
965,422.61,Hombre,19,10,0,179,1687.75,0,2,1,3,Triste,1,0,0,guayas
966,"311,19",M,20,15,0,71,1635.28,1,1,1,3,Normal,0,1,1,EL ORO
967,"846,73",mujer,25,20,0,207,769.45,0,2,3,3,Feliz,1,0,3,el oro
968,357.54,H,59,12,42,172,236.9,0,2,1,2,Triste,1,1,0, El Oro
969,668.36,Mujer,59,3,45,183,2206.22,0,2,4,5,Normal,1,0,0,el oro
970,"926,89",HOMBRE,39,9,24,127,3593.33,0,2,3,1,Muy triste,0,1,3,Azuay
971,677.64,hombre,24,14,3,148,630.13,1,1,2,5,Feliz,1,1,1, Loja
972,"689,00",Hombre ,36,14,14,999,1058.32,0,3,3,4,Normal,1,1,2,El Oro
973,"461,04",Mujer,19,6,3,208,,0,3,2,3,Triste,0,1,2,El  Oro
974,525.04,hombre,26,16,3,167,1003.83,1,1,2,3,Normal,0,1,1,LOJA
975,432.29,hombre,30,99,10,179,1461.89,0,2,1,1,Normal,0,1,1,EL ORO
976,"805,44", Mujer,56,99,32,169,733.94,1,1,1,4,Feliz,1,1,0,EL ORO
977,  1382,M,37,12,19,210,5267.59,1,1,3,3,Triste,1,0,1,guayas
978,846.30,mujer,53,20,28,98,684.34,0,3,4,4,Muy feliz,1,1,3, El Oro
979,"1.401,08",Hombre ,40,15,20,216,615.39,1,1,4,2,Triste,1,1,4,EL ORO
980,"616,33",H,21,12,0,136,2881.05,0,3,2,4,Normal,1,1,2, El Oro
981,"434,99",mujer,26,11,8,180,721.37,1,1,3,5,Normal,1,1,2,Loja
982,297.38,HOMBRE,99,6,18,999,293.38,0,2,2,3,Muy triste,0,0,0,El Oro
983,  324,,23,10,8,179,792.04,1,1,1,5,Feliz,0,0,0,El Oro
984,"637,61",Hombre ,29,11,13,127,1799.41,1,1,1,1,Triste,1,0,1,el oro
985,553.82,hombre,22,99,0,215,962.3,1,1,1,5,Normal,1,1,2, Loja
986,,H,39,9,25,168,580.46,1,1,3,5,Muy feliz,1,1,4,AZUAY
987,,H,34,12,16,193,209.32,1,1,1,4,Normal,1,0,0,Loja
988,"1.272,63", Mujer,44,14,24,116,7120.39,1,1,2,1,Feliz,1,0,0,Guayas
989,648.30,HOMBRE,24,17,2,198,833.63,1,1,1,1,Feliz,1,0,3,el oro
990,  558,MUJER ,27,12,9,190,931.54,1,1,2,3,Normal,1,0,1,El  Oro
991,"1.060,96",MUJER ,35,16,13,133,3955.65,0,2,1,1,Normal,1,1,3,guayas
992,"319,88",MUJER ,27,7,10,203,1902.96,0,3,2,3,Normal,1,0,0,EL ORO
993,  701,HOMBRE,20,10,3,102,3116.82,1,1,1,4,Normal,1,0,1,GUAYAS
994,  882,Hombre ,26,18,3,149,1083.21,1,1,1,3,Normal,1,1,4,El Oro
995,"271,74",Hombre ,250,14,44,132,103.66,1,1,1,5,Muy triste,0,0,0,El Oro
996,  481, Mujer,18,12,1,74,1874.25,0,2,1,2,Muy triste,1,0,2,GUAYAS
997,"873,44",mujer,55,17,34,123,5670.94,1,1,1,4,Normal,0,1,3,Azuay
998,355.44,mujer,62,7,44,246,1133.92,0,3,1,5,Normal,0,1,1,El  Oro
999,1515.44,hombre,34,16,11,177,3247.09,0,2,2,4,Feliz,1,1,1,EL ORO
1000,337.48,mujer,21,9,5,147,359.62,0,2,2,5,Feliz,1,0,2,GUAYAS
1001,  431, Mujer,35,3,21,202,3705.4,0,3,1,3,Muy feliz,1,0,1,EL ORO
1002,769.30,Hombre,62,99,41,171,2024.79,1,1,2,1,Feliz,1,0,0,AZUAY
1003,  799,Hombre ,23,13,2,209,3132.76,0,2,1,3,Normal,1,0,0,Loja
1004,700.19,Mujer,42,16,17,211,1198.39,0,2,2,4,Muy feliz,0,0,1, El Oro
1005,s/i,Mujer,99,14,1,163,322.81,0,2,2,5,Feliz,1,0,2,Guayas
1006,454.27,HOMBRE,54,7,40,161,562.28,0,2,2,3,Triste,1,1,3,el oro
1007,826.72,H,20,15,2,210,819.06,1,1,2,5,Triste,1,1,3,AZUAY
1008,"571,99",HOMBRE,43,13,21,133,687.42,1,1,1,5,Triste,0,0,2,Azuay
1009,  1028,hombre,22,17,4,158,699.35,1,1,3,4,Muy triste,0,0,0, Loja
1010,447.67,mujer,54,12,35,56,1237.1,1,1,1,5,Normal,1,1,1,el oro
1011,,M,39,13,22,112,1777.78,0,2,4,1,Muy feliz,1,1,3,guayas
1012,s/i,Hombre,35,12,17,144,160.85,0,2,1,1,Normal,0,1,3,el oro
1013,"287,15",Mujer,37,4,22,140,1220.13,0,3,2,5,Triste,1,0,0,el oro
1014,,H,22,11,2,184,1079.91,1,1,2,2,Normal,1,0,0,guayas
1015,  1214,hombre,65,21,39,184,1167.65,0,3,2,3,Normal,0,0,0,GUAYAS
1016,"592,79",mujer,44,11,28,999,1678.8,0,2,3,1,Muy triste,1,1,2,guayas
1017,,Hombre ,34,7,17,223,1056.53,1,1,1,2,Feliz,1,1,1,AZUAY
1018,  482,MUJER ,35,12,17,216,1153.31,0,3,1,5,Triste,1,0,0,Loja
1019,  1660,MUJER ,43,15,23,266,2310.61,1,1,2,3,Feliz,1,1,1,LOJA
1020,879.85,H,61,6,41,185,1275.78,0,2,2,4,Feliz,0,0,0, El Oro
1021,423.11,MUJER ,47,13,28,92,1114.06,0,3,3,4,Feliz,1,1,0,GUAYAS
1022,251.74,H,51,7,35,98,1126.47,0,2,2,3,Normal,0,1,2, El Oro
1023,581.49, Mujer,44,10,28,186,614.24,1,1,3,3,Muy feliz,1,1,2,Loja
1024,"1.026,85",M,62,21,34,201,496.37,1,1,3,1,Muy feliz,0,1,1,LOJA
1025,607.72,hombre,47,16,23,135,574.01,1,1,1,2,Muy triste,0,0,0,AZUAY
1026,566.58,Mujer,51,8,37,164,1018.18,0,2,1,1,Triste,0,0,0, El Oro
1027,1318.39, Mujer,45,17,22,241,916.6,1,1,1,4,Feliz,1,1,0, El Oro
1028,  783,MUJER ,18,12,0,222,1720.06,0,2,4,1,Triste,1,0,2,GUAYAS
1029,"635,54",Mujer,43,6,26,235,1693.29,1,1,1,4,Normal,0,1,3,AZUAY
1030,"655,23",Hombre,24,19,0,188,1355.42,1,1,1,2,Triste,1,1,1,EL ORO
1031,1424.08,Hombre ,46,14,26,219,4037.18,0,2,2,3,Feliz,1,1,1, Loja
1032,  1205,mujer,44,9,30,222,2185.03,1,1,4,3,Triste,0,1,0,el oro
1033,728.00,M,42,13,24,157,1306.81,0,3,1,4,Normal,1,1,2, El Oro
1034,459.54,mujer,30,9,12,187,837.62,0,2,1,3,Normal,1,0,3,GUAYAS
1035,,Hombre ,48,11,30,176,273.65,0,2,2,4,Normal,1,1,4, El Oro
1036,1099.62,M,29,18,6,232,867.33,1,1,1,1,Normal,1,1,0,Azuay
1037,"655,61",hombre,63,11,47,129,910.16,0,3,1,2,Muy feliz,1,1,4,el oro
1038,370.26,hombre,22,11,,138,614.11,1,1,1,4,Muy feliz,0,0,0,AZUAY
1039,1043.69,HOMBRE,50,12,31,176,1455.91,0,2,2,5,Muy feliz,1,0,1,Azuay
1040,"505,89",hombre,23,12,5,208,1346.75,0,2,1,3,Normal,1,0,0,El  Oro
1041,645.17,Hombre,99,6,3,132,2262.62,0,2,2,5,Triste,1,0,1,El Oro
1042,974.75,hombre,21,11,4,164,2504.6,0,2,4,5,Feliz,1,1,1,EL ORO
1043,"750,54",Mujer,60,11,43,257,1393.2,0,3,1,4,Normal,1,1,1,El Oro
1044,"377,97",Mujer,28,8,10,143,827.19,0,2,1,4,Triste,0,0,0, Loja
1045,235.14,H,24,10,8,187,137.2,1,1,2,4,Muy triste,0,0,3,El Oro
1046,925.25,MUJER ,19,14,0,152,1638.88,0,2,3,4,Feliz,0,0,1,EL ORO
1047,  168,Mujer,45,5,30,168,470.62,0,3,2,1,Muy triste,0,1,0,El  Oro
1048,  1077,H,50,16,28,159,2284.44,0,3,1,4,Triste,1,0,1,Loja
1049,"883,71", Mujer,99,15,0,169,4375.27,0,2,1,1,Muy triste,1,0,1,guayas
1050,594.09,Hombre ,52,9,37,165,1064.64,1,1,1,4,Triste,0,0,2,el oro
1051,,Hombre,28,9,13,161,612.68,0,2,1,1,Normal,1,0,2,El Oro
1052,380.62,Mujer,24,9,12,261,1265.44,1,1,1,5,Triste,1,1,3,el oro
1053,"431,70",M,57,9,41,168,888.9,0,3,1,4,Normal,1,1,2,El  Oro
1054,,hombre,28,15,8,120,4518.25,0,2,1,2,Feliz,1,0,0,El Oro
1055,628.79,MUJER ,63,12,45,187,761.26,1,1,1,3,Feliz,1,0,2,EL ORO
1056,595.92,MUJER ,47,6,32,214,1227.47,0,3,3,2,Muy triste,1,1,1,Loja
1057,"884,06",H,34,10,17,164,2908.31,0,3,1,2,Muy feliz,1,0,1, Loja
1058,"902,08",Mujer,26,15,7,135,1231.05,1,1,3,4,Feliz,1,1,3, El Oro
1059,NA,Hombre,25,11,6,180,5272.73,0,2,3,3,Muy feliz,1,1,2,AZUAY
1060,1698.76,H,62,20,38,249,3294.96,1,1,1,3,Normal,1,1,4,el oro
1061,,Hombre ,59,16,39,187,1863.34,1,1,1,5,Triste,1,1,1,El  Oro
1062,  420,H,43,13,23,999,1743.55,1,1,2,3,Normal,1,0,2,el oro
1063,1808.57,HOMBRE,28,17,5,119,1959.7,1,1,2,3,Triste,0,1,0, El Oro
1064,"300,66",MUJER ,24,6,7,128,1239.44,0,2,2,3,Triste,0,1,4,GUAYAS
1065,878.41,M,40,11,23,151,980.51,1,1,3,1,Muy feliz,1,0,2,El  Oro
1066,"424,70",M,29,12,8,84,700.79,0,2,1,1,Muy triste,1,0,0,Loja
1067,"908,22",MUJER ,51,12,37,192,5391.89,1,1,1,1,Muy triste,0,1,2,EL ORO
1068,476.01,Hombre,60,10,44,162,1752.19,1,1,1,4,Normal,1,0,1,EL ORO
1069,527.28,HOMBRE,30,10,12,241,795.45,1,1,3,1,Muy feliz,0,1,2,LOJA
1070,NA,HOMBRE,25,5,10,192,968.29,0,3,3,2,Triste,0,1,3,guayas
1071,"868,74",MUJER ,46,14,24,191,1761.11,1,1,1,3,Feliz,0,1,2,el oro
1072,344.71,hombre,47,15,25,999,3055.48,0,2,1,3,Muy triste,1,1,2,GUAYAS
1073,"439,48",Hombre ,58,10,42,123,2990.62,0,2,1,4,Normal,1,1,3, El Oro
1074,1239.43,hombre,38,15,18,148,5961.35,1,1,1,1,Normal,1,1,3,EL ORO
1075,234.07,MUJER ,41,2,26,166,1202.63,0,3,1,5,Triste,1,1,0,el oro
1076,"750,35",Hombre,29,6,13,155,2397.92,0,2,1,5,Normal,0,0,1,EL ORO
1077,826.65, Mujer,40,13,20,143,935.7,0,2,2,2,Feliz,1,1,1,EL ORO
1078,515.55,Mujer,59,11,41,101,1653.06,1,1,1,3,Triste,1,0,0,El  Oro
1079,886.01,HOMBRE,18,13,0,147,4573.82,0,3,1,3,Triste,1,1,1, El Oro
1080,  788, Mujer,60,17,35,239,651.56,0,2,1,5,Feliz,0,1,2,el oro
1081,"893,09", Mujer,37,14,16,112,1192.5,1,1,1,4,Feliz,1,0,1,Azuay
1082,  1083,H,25,14,5,225,424.88,1,1,3,3,Triste,0,0,0,El  Oro
1083,578.94,M,43,10,25,217,2518.24,0,2,2,3,Triste,1,0,0,guayas
1084,848.30,MUJER ,23,7,10,222,2535.4,0,2,3,1,Normal,0,0,2,el oro
1085,"613,67",Mujer,19,14,0,139,1793.58,0,2,3,3,Triste,1,0,0,El Oro
1086,"414,29",mujer,64,8,49,206,677.09,0,3,2,2,Feliz,0,1,1,Loja
1087,"1.139,10",Hombre,49,10,33,175,1076.01,0,3,3,1,Feliz,1,1,0,El  Oro
1088,2667.99,H,44,20,19,198,6920.67,1,1,4,4,Muy feliz,1,1,4,AZUAY
1089,289.51,Hombre ,34,5,19,181,1357.26,0,2,1,3,Feliz,1,1,4,guayas
1090,  509,Hombre ,24,16,1,130,864.87,0,2,1,2,Triste,0,0,2,El Oro
1091,510.11,Hombre,35,6,19,204,291.87,0,2,3,3,Muy triste,1,0,0,AZUAY
1092,"1.053,31",Hombre ,19,14,0,232,3161.87,0,2,3,5,Feliz,1,1,4,AZUAY
1093,"1.069,19",hombre,26,6,11,216,1674.38,0,2,4,5,Triste,1,0,1,El  Oro
1094,696.37,Hombre ,28,14,5,172,1570.73,0,2,2,1,Normal,1,1,3, Loja
1095,417.48,,63,8,51,120,598.39,1,1,4,3,Feliz,1,1,3,Loja
1096,371.31,Mujer,22,3,8,193,627.14,0,3,1,4,Muy feliz,0,1,4,El  Oro
1097,"652,33",hombre,58,14,36,112,1734.98,0,2,2,1,Muy feliz,0,1,0, El Oro
1098,"646,46",H,38,16,15,147,495.64,1,1,4,3,Triste,1,0,0,Guayas
1099,, Mujer,19,12,2,165,3081.32,1,1,1,1,Muy feliz,1,1,3,el oro
1100,697.79,HOMBRE,29,13,11,201,354.38,0,2,1,5,Muy triste,0,0,0,LOJA
1101,627.08,Hombre,44,12,24,194,,0,3,2,1,Normal,0,1,0,EL ORO
1102,"343,33",Hombre,37,3,22,166,1418.81,0,2,2,5,Normal,1,0,,LOJA
1103,758.40,H,58,10,40,175,486.36,0,3,3,3,Normal,1,1,3, El Oro
1104,1054.52,HOMBRE,28,12,10,999,3474.12,0,2,2,3,Muy feliz,1,1,3,Guayas
1105,"342,02", Mujer,54,8,38,107,1346.13,0,3,1,4,Feliz,0,0,1,AZUAY
1106,"515,95",Mujer,34,13,16,120,1493.29,1,1,2,5,Muy feliz,0,0,0,Loja
1107,  1023,mujer,21,9,9,169,3240.87,1,1,2,3,Muy feliz,1,0,1,El  Oro
1108,"297,32",HOMBRE,99,17,7,167,211.75,1,1,2,5,Feliz,1,0,0, El Oro
1109,"1.327,59",Hombre ,35,15,13,295,2154.35,0,2,3,4,Muy triste,1,1,0,El Oro
1110,"377,00",Mujer,46,8,33,147,1537.97,0,3,2,1,Normal,1,0,1,el oro
1111,1146.10,hombre,21,16,1,209,233.92,1,1,3,5,Muy feliz,1,0,1,El  Oro
1112,,M,38,13,21,161,1305.31,1,1,1,5,Feliz,0,1,3,Azuay
1113,"504,26",MUJER ,22,5,4,115,3474.42,0,2,3,4,Triste,0,1,0,GUAYAS
1114,  901,M,37,11,21,97,5847.19,0,3,2,5,Muy feliz,1,1,1,el oro
1115,"979,88",M,35,16,13,212,944.34,1,1,2,4,Feliz,1,1,0,El  Oro
1116,380.56,MUJER ,31,13,14,86,547.42,0,2,1,4,Feliz,0,0,0,GUAYAS
1117,"767,21",Hombre ,41,6,23,177,1192.85,1,1,4,3,Normal,1,1,5,GUAYAS
1118,503.93,HOMBRE,49,99,26,139,,1,1,1,3,Normal,1,0,0, El Oro
1119,"1.144,49",hombre,61,14,43,216,2867.18,1,1,3,4,Muy feliz,1,0,3,EL ORO
1120,  805,Hombre,27,10,10,124,4971.54,1,1,2,1,Feliz,0,0,1,El Oro
1121,"508,13",Hombre ,59,2,43,170,5344.89,0,2,4,3,Triste,1,0,0,Azuay
1122,s/i,M,40,10,24,138,1049.46,1,1,1,1,Normal,0,0,2,El Oro
1123,702.95, Mujer,34,14,14,185,551.96,1,1,2,5,Normal,0,0,4, El Oro
1124,"1.496,75",H,23,17,1,127,1290.75,0,3,4,3,Feliz,1,1,2,El  Oro
1125,705.28,H,23,10,7,206,819.55,0,2,2,2,Normal,1,0,0, El Oro
1126,  534,mujer,41,12,23,146,1532.21,0,2,2,3,Feliz,1,1,0,EL ORO
1127,1157.78,HOMBRE,19,14,1,199,2825.89,0,3,1,5,Muy feliz,1,0,,Loja
1128,  1000,MUJER ,51,12,32,220,3536.81,0,2,3,5,Triste,1,1,0,EL ORO
1129,  1341,MUJER ,53,16,33,221,3996.26,1,1,1,3,Muy feliz,1,1,1, El Oro
1130,"625,93",mujer,25,14,7,170,2039.7,1,1,1,3,Triste,1,1,4,El  Oro
1131,"687,48",H,54,12,36,170,1223.9,1,1,1,4,Triste,1,0,0,Loja
1132,s/i,mujer,19,1,5,108,562.29,0,2,3,3,Triste,0,0,1,EL ORO
1133,1691.63,Hombre,19,14,0,197,3916.2,1,1,1,4,Muy feliz,1,0,0,Loja
1134,555.87,Mujer,250,9,14,163,649.36,0,2,2,2,Normal,1,1,5,AZUAY
1135,383.62,hombre,31,7,17,200,989.33,0,3,1,3,Feliz,1,0,0,El Oro
1136,1144.87,hombre,25,13,6,223,908.08,0,2,3,5,Normal,1,1,2,el oro
1137,"622,28",Hombre ,99,13,9,106,2052.62,1,1,1,5,Triste,1,0,1,GUAYAS
1138,558.64,M,41,10,26,147,1997.19,1,1,3,3,Triste,1,0,0,el oro
1139,  429,M,54,9,38,79,2929.45,0,3,3,1,Feliz,0,0,0,EL ORO
1140,  1110, Mujer,47,15,25,130,590.87,1,1,2,1,Normal,1,1,3,AZUAY
1141,"334,11",MUJER ,50,8,35,122,296.97,0,2,3,2,Feliz,1,1,0,Guayas
1142,"810,88",HOMBRE,18,8,7,165,1372.1,0,2,4,1,Feliz,1,0,0,el oro
1143,"1.194,32",Hombre,34,17,12,168,1567.71,1,1,2,3,Feliz,1,1,4,El Oro
1144,"245,49",M,21,6,6,123,1650.01,0,3,1,3,Muy triste,1,1,1,El Oro
1145,570.59,MUJER ,30,8,15,139,1677,0,2,1,5,Normal,0,0,1,Azuay
